output,parameter,increment,steps,fd,oti,rel_error,plateau_spread,weighted_fd,float32_floor_rel,weighted_error
tip_RF2,g0,1,0.02/0.01,0.0,-4.091805010488445e-10,4.091805010488445e+290,0.0,1.0257367060950472e-300,5.810910774783906e+294,4.197114593441628e-10
tip_RF2,g0,2,0.01/0.005,-0.001688416187579815,-0.001705870807728756,0.010337865910869113,0.0061778682959945696,0.000865972981821688,0.013765936357507233,8.952312568508106e-06
tip_RF2,g0,3,0.01/0.005,-0.6068779872013972,-0.6058851544521676,0.0016359676412189376,0.001517047137253494,0.21303560547459904,5.595744865521786e-05,0.000348519356983928
tip_RF2,g0,4,0.02/0.01,-1.892399787902832,-1.891945035754178,0.00024030448088241418,0.00012919768299434118,0.558324057435355,1.067563612594141e-05,0.00013416777278616617
tip_RF2,g0,5,0.01/0.005,-2.5757078941051774,-2.575509285578013,7.710832723652268e-05,5.945475715493483e-05,0.7022252505458223,1.6975933214894056e-05,5.414741441283639e-05
tip_RF2,g0,6,0.01/0.005,-2.8923094272613525,-2.891182453656197,0.0003896448957131277,1.9736100593628146e-05,0.7533727537337285,1.582341396871309e-05,0.0002935478480616905
tip_RF2,g0,7,0.01/0.005,-3.0387300711411696,-3.03694958820051,0.0005859299440805325,1.9614985003589543e-05,0.7663368167247923,1.555573045025603e-05,0.0004490196881704108
tip_RF2,g0,8,0.01/0.005,-3.1105500001173754,-3.1091162099890615,0.0004609442472423854,6.043428964935361e-06,0.764210679833403,1.5599008584487295e-05,0.0003522585165503995
tip_RF2,g0,9,0.02/0.01,-3.1567892202964196,-3.1562685442520877,0.00016493848907752978,4.57511189954695e-06,0.7583355272590462,7.859930417717298e-06,0.00012507871607991895
tip_RF2,g0,10,0.01/0.005,-3.1819669099954457,-3.181663986134992,9.520019190091903e-05,4.250725973510264e-06,0.7492333934378353,1.5910835074207377e-05,7.13271628338587e-05
tip_RF2,g0,11,0.01/0.005,-3.19449443083543,-3.1944707741942158,7.405441370017099e-06,2.152910002323061e-06,0.7385294333698287,1.6141440566131852e-05,5.469136418852216e-06
tip_RF2,g0,12,0.01/0.005,-3.2029115236722503,-3.20299764118371,2.6887258927767023e-05,2.4335525629962284e-06,0.7279863863780395,1.6375208627716907e-05,1.9573558466435796e-05
tip_RF2,g0,13,0.01/0.005,-3.206970141484187,-3.207058489774812,2.7548834796373783e-05,3.002348694450398e-06,0.7173903438083349,1.661707473199979e-05,1.9763268066089607e-05
tip_RF2,g0,14,0.01/0.005,-3.2067858255826507,-3.2070139602010777,7.114120831113402e-05,4.575270491527751e-06,0.7066329814113929,1.6870043245459425e-05,5.02707241301056e-05
tip_RF2,g0,15,0.01/0.005,-3.2063933519216685,-3.2066385812067595,7.648134778722408e-05,4.7188252240448085e-06,0.6965163779073521,1.7115073432865926e-05,5.327051133822979e-05
tip_RF2,g0,16,0.01/0.005,-3.205707440009484,-3.2059481228398714,7.507947462194867e-05,5.148910790776509e-06,0.6869565108032377,1.7353251286809027e-05,5.157633391923409e-05
tip_RF2,g0,17,0.01/0.005,-3.2024906231806827,-3.2027951214942787,9.508171901955473e-05,2.577041367569713e-06,0.6773937468984262,1.7598227042485002e-05,6.440776190819954e-05
