increment,time,volume_mean_mises,field_share_g0,field_share_h0,field_share_q,field_share_gd0,field_share_m,field_share_gsat,field_share_C11,field_share_C12,field_share_C44,field_share_a,scalar_share_g0,scalar_share_h0,scalar_share_q,scalar_share_gd0,scalar_share_m,scalar_share_gsat,scalar_share_C11,scalar_share_C12,scalar_share_C44,scalar_share_a
1,0.03999999910593033,4.175126237787126,1.3629822905014175e-08,8.859016430786732e-21,5.581854032815058e-21,6.814911452514066e-10,1.265091342346903e-08,5.484153028582705e-21,57.26872163837765,40.06171191385855,2.6695664208015533,4.777907940773653e-21,6.7486884090837e-09,3.894215064588222e-21,2.4483034345381386e-21,3.3743442045450047e-10,6.3445755219332385e-09,2.4107045637928907e-21,57.54710926857618,40.233239010540636,2.2196517074524813,2.1002558495677164e-21
2,0.07999999821186066,8.349951466615671,0.028385555741539375,2.2623003840063188e-07,1.426077796385316e-07,0.0014192954188230267,0.005551548735092084,1.4004774175529565e-07,57.249083473741706,40.04782824716011,2.6677312483047215,1.220124373993605e-07,0.014065283015308348,9.948910105952677e-08,6.257879438923e-08,0.0007032722046574013,0.002918080431141283,6.158873858927006e-08,57.537734237709415,40.22651439658902,2.2180644527364457,5.365736069571119e-08
3,0.11999999731779099,12.273993124760949,5.382175987367651,0.03336765237016507,0.02598349970612114,0.2717080567541455,0.12826121639134552,0.020762778570783073,53.72743231281187,37.575274712447815,2.8169563706119005,0.018077412968200385,3.725254890526219,0.01830491964582896,0.014224950967242566,0.18774740578423763,0.00026324670720619353,0.01138830551270452,55.161276160604686,38.56365554705272,2.307968986670614,0.009915586528538405
4,0.1599999964237213,14.902412924887505,16.988778889121452,0.3358185829489128,0.28495768877627453,0.8758538633315367,0.6003943695528348,0.2116285434512386,45.3093548796963,31.63850365230781,3.570746695536337,0.18396283527730467,15.60806471509635,0.25384117521392,0.2153503226409462,0.801079483834809,0.32195857249264825,0.15968378638586692,47.00813883860042,32.80192530391745,2.6911180629155553,0.13883973890203077
5,0.20000000298023224,16.429412844795568,27.154480261628002,0.9887318458730814,0.8495744554147175,1.4338891996443286,1.1014235362713418,0.6324939069242723,37.1425178008331,25.940737216468825,4.207403979767217,0.5487477971751126,26.920300918364493,0.8416443002195787,0.724613064099146,1.414948321558602,0.6806955905827327,0.537021212587973,38.56277911026799,26.868279028146336,2.9836489120734364,0.4660695420997231
6,0.23999999463558197,17.425232288808413,33.77632011498535,1.8054428179499316,1.5568126573652643,1.8300180444948229,1.4502579256465593,1.1729014075343147,31.055010621542777,21.706853374279145,4.6308509471512815,1.0155320890505455,34.871726448424695,1.6645091994059908,1.4393088096256306,1.8806977530904039,0.9297152304832313,1.0777194139774482,31.825824615638066,22.12882870463026,3.248141784455552,0.9335280402687303
7,0.2800000011920929,18.16804560547121,37.1668845562137,2.6090873461340998,2.2526442957577686,2.063288327974531,1.6074173925333937,1.7200940666480506,27.24752007216736,19.090229442958456,4.756485565188815,1.486348934423799,39.526540745076254,2.5426228646140685,2.202892797149742,2.1869645472159043,1.0254285179182756,1.6701273346276697,27.185364334935,18.872136216379094,3.344049153521527,1.44387348856246
8,0.3199999928474426,18.78572355965404,38.64010495429429,3.3516109254487336,2.8954083340581005,2.1950806904032554,1.6885181187069114,2.2413357972601307,24.83914588101576,17.387155548334654,4.828731636138002,1.9329081143401934,41.673194343858285,3.361252596439048,2.913346250108068,2.36367237343837,1.0236886777552572,2.239000528470115,24.236103838923313,16.81078344599226,3.447007295139204,1.9319506498760965
9,0.36000001430511475,19.32279594388267,39.78982054336624,4.037694249650136,3.4884953707740567,2.3079315893489927,1.7659664879776764,2.738542280596714,22.789191852292696,15.965999839780642,4.759313261925072,2.3570445242877884,43.504901243748115,4.186686583193852,3.6306071968247204,2.525908291924687,1.0379468845922708,2.8265780115518457,21.555451221234858,14.929727978395613,3.3678413693336338,2.434351219200391
10,0.4000000059604645,19.800714217000838,39.9421076647658,4.61585012989624,3.9963882834584603,2.366493031418279,1.8062633768320076,3.1710098537627402,21.590814136740192,15.151898416491223,4.634966643238894,2.7242084633961454,44.2011678245119,4.936756841383988,4.2831975834065075,2.6256929831468634,1.0275636069649552,3.375934997041424,19.726987733783012,13.657603428880503,3.2629413417221143,2.902153659158734
