increment,time,volume_mean_mises,field_share_g0,field_share_h0,field_share_q,field_share_gd0,field_share_m,field_share_gsat,field_share_C11,field_share_C12,field_share_C44,field_share_a,scalar_share_g0,scalar_share_h0,scalar_share_q,scalar_share_gd0,scalar_share_m,scalar_share_gsat,scalar_share_C11,scalar_share_C12,scalar_share_C44,scalar_share_a
1,0.03999999910593033,4.17512721890535,1.3629818707141734e-08,8.85901092651833e-21,5.581850489013154e-21,6.814909353577848e-10,1.2650909752787798e-08,5.4841496211784555e-21,57.26872153032157,40.06171154635779,2.6695668963584094,4.7779049721723515e-21,6.748686387416317e-09,3.894212699021807e-21,2.448301925827429e-21,3.374343193711315e-10,6.344573717907894e-09,2.4107030993946418e-21,57.54710922305873,40.23323868376583,2.219652079744731,2.1002545737535707e-21
2,0.07999999821186066,8.349953283138968,0.028386630191548398,2.26250122174258e-07,1.4262027606772366e-07,0.0014193491428793642,0.005551680337102105,1.4006017464585036e-07,57.24908212596864,40.04782740136432,2.6677321820416617,1.2202326918322819e-07,0.014065774100737762,9.949764445695319e-08,6.258409234364932e-08,0.0007032967596204825,0.002918141844396586,6.15940273921629e-08,57.53773334822186,40.22651393222549,2.218065229510166,5.3661968407002876e-08
3,0.11999999731779099,12.273764214818451,5.382971527031184,0.03343825467246696,0.026019405519191848,0.27175349119542835,0.12863945133339447,0.02080695319080413,53.726672207460474,37.574756997213974,2.8168258645186603,0.01811584786442808,3.7254352945548006,0.018344186043004255,0.014243613619986911,0.18775961759962514,5.706568629519496e-05,0.01141287139469659,55.161284700386474,38.56368299981319,2.307842690137502,0.00993696076443104
4,0.1599999964237213,14.901771176613892,16.992736396409807,0.3367007415042244,0.2854938635439828,0.8761200251564284,0.6081740335503988,0.21219463637036415,45.30112564141262,31.632861827975177,3.5701390366879258,0.18445379738907455,15.611543084320504,0.2544203383509276,0.2157003637524971,0.8013009272222309,0.32740801318000945,0.16005512177315973,47.00306234104017,32.798481892559614,2.6888660914674487,0.1391618263334491
5,0.20000000298023224,16.42864901545612,27.15957096164349,0.9893486246864082,0.8500471519516415,1.4341938333291877,1.1038583923773815,0.6328882837893997,37.136902122996496,25.936525850311988,4.207574786136238,0.5490899927777781,26.924451691678104,0.8421639052953398,0.7250310089139674,1.4151985074967202,0.6821987441610373,0.5373545529610378,38.55837880578382,26.864924517563022,2.983939612908512,0.4663586532384431
6,0.23999999463558197,17.424483812950804,33.781479861614734,1.8039505974002021,1.5556732141418261,1.8301769814158702,1.4443085426634803,1.1718624870718666,31.056977748230512,21.708790166076252,4.6321397898673755,1.0146406115178825,34.87496550975096,1.6634753226779455,1.4385084725796724,1.8807716924064513,0.9252876883769812,1.076993015700161,31.826460205899057,22.12954494673107,3.2510876906448836,0.9329054552328309
7,0.2800000011920929,18.167793790650848,37.169835209594325,2.6063903316668298,2.250445400261475,2.063267573898464,1.6006907774820442,1.7181431135484881,27.254041715186577,19.09484447906078,4.75765985125005,1.4846815480509594,39.5250068951511,2.540457805377927,2.201001766742792,2.1867017901920844,1.0211937465068273,1.6685711033126698,27.191467505319817,18.87658947005226,3.346465798687842,1.4425441186566657
8,0.3199999928474426,18.786382397433794,38.643479756606986,3.348078592569188,2.892325118478689,2.1950107648323796,1.6855201606311532,2.2386827620278584,24.844914783002757,17.39162995023399,4.829702869188772,1.9306552424282468,41.675490390027015,3.358248354418331,2.910590583935346,2.363523583404744,1.0228028646131053,2.2367329236495435,24.240485395516675,16.813909481192965,3.4481897408648816,1.9300266823773813
9,0.36000001430511475,19.323882424184664,39.79746353809529,4.034085061360789,3.485326771836722,2.308037510425374,1.7645426730020626,2.7356768900936417,22.791568673271545,15.967959133111222,4.76071047931209,2.3546292694912587,43.514391604495934,4.183595972638242,3.6277302149468933,2.526104624981525,1.037670366842686,2.8241049224962396,21.555155292531435,14.929525513623716,3.3694517007148015,2.4322697867285292
10,0.4000000059604645,19.802000553651165,39.95167166553581,4.612224516823565,3.993215345805069,2.366703463637206,1.805647956200728,3.168172707477007,21.591328129771554,15.151974013543803,4.637369489090719,2.721692712114532,44.20955598682724,4.9333556407163295,4.2800435863599375,2.6258021055025105,1.0268164339318204,3.3731304825066686,19.72786400029328,13.658132304252367,3.265495380853027,2.8998040787568136
